# t S E I R
104	1.47301e+07	4.94884e+06	1.04768e+07	2.98443e+07
105	1.38562e+07	4.68878e+06	1.03111e+07	3.11439e+07
106	1.30483e+07	4.42443e+06	1.01068e+07	3.24204e+07
107	1.23036e+07	4.15929e+06	9.86787e+06	3.36692e+07
108	1.16188e+07	3.89644e+06	9.59859e+06	3.48861e+07
109	1.09904e+07	3.63853e+06	9.30332e+06	3.60678e+07
110	1.04147e+07	3.38776e+06	8.98647e+06	3.72111e+07
111	9.8881e+06	3.14588e+06	8.65236e+06	3.83137e+07
112	9.40698e+06	2.91426e+06	8.30514e+06	3.93736e+07
113	8.96782e+06	2.69387e+06	7.94875e+06	4.03896e+07
114	8.56726e+06	2.48535e+06	7.58682e+06	4.13606e+07
115	8.2021e+06	2.28905e+06	7.22267e+06	4.22862e+07
116	7.86934e+06	2.1051e+06	6.85929e+06	4.31663e+07
117	7.56616e+06	1.93339e+06	6.4993e+06	4.40011e+07
118	7.28998e+06	1.77369e+06	6.145e+06	4.47913e+07
119	7.03837e+06	1.6256e+06	5.79832e+06	4.55377e+07
120	6.80914e+06	1.48866e+06	5.46089e+06	4.62413e+07
121	6.60027e+06	1.36232e+06	5.13403e+06	4.69034e+07
122	6.4099e+06	1.24602e+06	4.81878e+06	4.75253e+07
123	6.23635e+06	1.13914e+06	4.51592e+06	4.81086e+07
124	6.07808e+06	1.04108e+06	4.22602e+06	4.86548e+07
125	5.93371e+06	951213	3.94943e+06	4.91656e+07
126	5.80198e+06	868955	3.68633e+06	4.96427e+07
127	5.68173e+06	793729	3.43675e+06	5.00878e+07
128	5.57192e+06	724983	3.20061e+06	5.05025e+07
129	5.47162e+06	662198	2.97769e+06	5.08885e+07
130	5.37997e+06	604882	2.7677e+06	5.12474e+07
131	5.2962e+06	552578	2.57028e+06	5.15809e+07
132	5.2196e+06	504858	2.38502e+06	5.18905e+07
133	5.14954e+06	461328	2.21145e+06	5.21777e+07
134	5.08544e+06	421622	2.04908e+06	5.24439e+07
135	5.02678e+06	385404	1.89742e+06	5.26904e+07
136	4.97308e+06	352367	1.75592e+06	5.29186e+07
137	4.92391e+06	322228	1.62408e+06	5.31298e+07
